!	!	!	PUNCT
"	"	''	PUNCT
''n	''n	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''t	''t	PRON.2.Acc.Sg.clit	PRON.2.Acc.Sg.clit
Lünsern	lün'sern	lünser	PROPN.Masc.Acc.fam	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Lünsern	lün'sern	lünser	PROPN.Masc.Nom.fam	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Maargt	margt	marxt	NOUN.Masc.Dat.Sg
Maföpken	ma'föp'ken	maföpken	NOUN.Pl.Acc
Mag	mag	mœgen	AUX.1.Sg.Ind.Prs
Mag	mag	mœgen	AUX.3.Sg.Ind.Prs
Major	ma'jOr	majOr	NOUN.Masc.Nom.Sg
Man	man	män	ADV
Man	man	män	PRON.Ind.Masc.Nom.Sg
Man	man	män	PRON.Ind.Masc.Nom.Sg
Mank	mank	mank	ADP
Mank	mank	mank	ADV
Margt	margt	marxt	NOUN.Masc.Dat.Sg
Mari'	ma'rI	marI	PROPN.Fem.Dat.Sg
Mari'	ma'rI	marI	PROPN.Fem.Nom.Sg
Mari'ken	ma'rI'ken	marI/PROPN.Fem-ken	PROPN.Neut.Nom.Sg
Mark	mark	märken	VERB.2.Sg.Imp
Marschall	mar'Sal	marSal	NOUN.Masc.Nom.Sg
16	16	16	NUM
äät	Ät	Äten	VERB.1.Sg.Ind.Prs
aber	a'ber	å'ver	ADV.hd
ach	ax	ax	INTJ	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
ächte	ex'te	ext	ADJ.Pos.Fem.Dat.Sg.Ind
af	af	af	ADP
af	af	af	PART
afgedoahn	af'ge'dån	af+dOn/AUX	VERB.PPast.st.hd
afgedräben	af'ge'drÄ'ven	af+drIven	VERB.PPast.st
afgeleggt	af'ge'legt	af+legen	VERB.PPast.wk.hd
afgepußt	af'ge'pust	af+pUsen	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afgequält	af'gek'wÄlt	af+kwÄlen?	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afgeschunn'n	af'ge'Sun'	af+Sinen	VERB.PPast.st.hd
afgesproaken	af'ge'språ'ken	af+sprÄken	VERB.PPast.st.hd
afkehren	af'kE'ren	af+kEren	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afkehren	af'kE'ren	af+kEren	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afkutscheren	af'kut'SE'ren	af+kutS/NOUN.Fem-Eren	VERB.Inf
afmaracht	af'ma'raxt	af+maraxen	VERB.1.Sg.Ind.Prt.wk	0.556053811659193	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afmaracht	af'ma'raxt	af+maraxen	VERB.2.Pl.Imp	0.663677130044843	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afmaracht	af'ma'raxt	af+maraxen	VERB.3.Sg.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afmaracht	af'ma'raxt	af+maraxen	VERB.3.Sg.Ind.Prt.wk	0.551569506726457	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afmaracht	af'ma'raxt	af+maraxen	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afmarscheert	af'mar'SErt	af+marSEren	VERB.PPast.wk
afpascholl'n	af'pa'So'len	af+paSolen	VERB.Inf
afprobeert	af'prO'bErt	af+probEren	VERB.1.Sg.Ind.Prt.wk	0.556053811659193	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afprobeert	af'prO'bErt	af+probEren	VERB.2.Pl.Imp	0.663677130044843	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afprobeert	af'prO'bErt	af+probEren	VERB.3.Sg.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afprobeert	af'prO'bErt	af+probEren	VERB.3.Sg.Ind.Prt.wk	0.551569506726457	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
afprobeert	af'prO'bErt	af+probEren	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
aftomoahnen	af'tO'må'nen	af+månen	VERB.Inf_to
aftoschüddeln	af'tO'Sü'deln	af+Südeln	VERB.Inf_to
ähr	Är	sE	DET.Poss.3.Pl.Neut.Acc.Sg
ähr	Är	sE	DET.Poss.3.Pl.Neut.Dat.Sg
ähr	Är	sE	DET.Poss.3.Pl.Neut.Acc.Pl
ähr	Är	sE	DET.Poss.3.Pl.Neut.Fem.Acc.Sg
ähr	Är	sE	DET.Poss.3.Sg.Fem.Fem.Dat.Sg
ähr	Är	sE	DET.Poss.3.Sg.Fem.Fem.Acc.Sg
ähr	Är	sE	DET.Poss.3.Sg.Fem.Neut.Nom.Sg
ähr	Är	sE	DET.Poss.3.Sg.Fem.Neut.Acc.Sg
ähr	Är	sE	DET.Poss.3.Sg.Fem.Neut.Dat.Sg
ähr	Är	sE	DET.Poss.3.Sg.Fem.Masc.Acc.Sg
ähr	Är	sE	PRON.3.Pl.Acc
ähr	Är	sE	PRON.3.Pl.Dat
ähr	Är	sE	PRON.3.Sg.Fem.Acc
ähr	Är	sE	PRON.3.Sg.Fem.Dat
ähren	Ä'ren	sE	DET.Poss.3.Sg.Fem.Masc.Dat.Sg
ähren	Ä'ren	sE	DET.Poss.3.Sg.Fem.Masc.Acc.Sg
ähren	Ä'ren	sE	DET.Poss.3.Pl.Masc.Acc.Sg
alle	a'le	al	DET.Tot.Pl.Nom.hd
alle	a'le	al	DET.Tot.Pl.Acc.hd
alle	a'le	al	DET.Tot.Fem.Acc.Sg.hd
allemoal	a'le'mål	al/PRON.Tot-e-mål	ADV
allerwarts	a'ler'warts	alerwarts	ADV	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
allmälig	al'mÄ'lig	almÄlix	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
alltied	al'tId	al+tId/NOUN.Fem	ADV
allto	al'tO	al+tO	ADV
alltoflott	al'tO'flot	altO/ADV+flot	ADV
alltosehr	al'tO'sEr	altO/ADV+sEr	ADV
alltoväl	al'tO'fÄl	altO/ADV+fÄl	ADV
alto	al'tO	al+tO	ADV
Ämtlüd'	emt'lÜd	amt/NOUN.Neut-"+lÜd	NOUN.Pl.Dat
Ämtlüd'	emt'lÜd	amt/NOUN.Neut-"+lÜd	NOUN.Pl.Nom
anbunn'n	an'bun'	an+binen	VERB.PPast.st
angebroaken	an'ge'brå'ken	an+brÄken	VERB.PPast.st.hd
angedoahn	an'ge'dån	an+dOn/AUX	VERB.PPast.st.hd
angedräben	an'ge'drÄ'ben	an+drIven	VERB.PPast.st.hd
angeföhrt	an'fÖrt	an+fÖren	VERB.PPast.wk.hd
angegoaten	an'ge'gå'ten	an+gEten	VERB.PPast.st.hd
angeholl'n	an'ge'ho'len	an+hålen	VERB.PPast.st.hd
angekoam'	an'ge'kå'men	an+kåmen	VERB.PPast.st.hd
angelopen	an'ge'lO'pen	an+lOpen	VERB.PPast.st.hd
angerönnt	an'ge'rönt	an+rönen	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
angesproaken	an'ge'språ'ken	an+sprÄken	VERB.PPast.st.hd
annern	a'nern	äner	ADJ.Acc.Ind.Masc.Sg	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
anners	a'ners	äners	ADV	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
antodroagen	an'tO'drå'gen	an+drågen	VERB.Inf_to
antofroagen	an'tO'frå'gen	an+frågen	VERB.Inf_to	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
antokieken	an'tO'kI'ken	an+kIken	VERB.Inf_to	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
antoloopen	an'tO'lO'pen	an+lOpen	VERB.Inf_to	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
antoseh'n	an'tO'sEn	an+sEen	VERB.Inf_to
antoträden	an'tO'trÄ'den	an+trÄden	VERB.Inf_to
antwoort't	ant'wOr't	antwOrten	VERB.3.Sg.Ind.Prs
antwoort't	ant'wOr't	antwOrten	VERB.3.Sg.Ind.Prt.wk
appetitlich	a'pe'tit'lix	apetItlix	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
appetitlich	a'pe'tit'lix	apetItlix	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
appetitlich	a'pe'tit'lix	apetItlix	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
appetitlich	a'pe'tit'lix	apetItlix	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
appetitlich	a'pe'tit'lix	apetItlix	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
appetitlich	a'pe'tit'lix	apetItlix	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
appetitlich	a'pe'tit'lix	apetItlix	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
appetitlich	a'pe'tit'lix	apetItlix	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADJ.Pos.Fem.Nom.ocr	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADJ.Pos.Masc.Nom.ocr	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADJ.Pos.Neut.Acc.wk.ocr	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADJ.Pos.Neut.Nom.wk.ocr	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADJ.Pos.Pl.Acc.wk.ocr	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADJ.Pos.Pl.Nom.wk.ocr	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbarmlich	ar'barm'lix	erbärmlix	ADV.ocr	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
arbeit't	ar'beit	arbeiden	VERB.3.Sg.Ind.Prs
argert	ar'gert	ärger/NOUN.Masc-en	VERB.PPast.wk
arme	ar'me	arm	ADJ.Pos.Neut.Dat.Sg.Def
arme	ar'me	arm	ADJ.Pos.Neut.Nom.Sg.Def
arme	ar'me	arm	ADJ.Pos.Fem.Nom.Sg.Def
arme	ar'me	arm	ADJ.Pos.Neut.Nom.Sg.Def
arme	ar'me	arm	ADJ.Pos.Neut.Nom.Sg.Def
armen	ar'men	arm	ADJ.Pos.Pl.Acc.Def
armet	ar'met	arm	ADJ.Pos.Fem.Acc.reg.st	0.91	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Fem.Nom.reg.st	0.92	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Masc.Nom.reg.st	0.92	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Neut.Acc.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Neut.Nom.wk.reg.st	0.975	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Pl.Acc.wk.reg.st	0.925	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Pl.Nom.wk.reg.st	0.925	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
armet	ar'met	arm	ADV.reg.st	0.645	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
as't	as't	as	ADP DET.Def.Nom.Sg.Neut
äten	Ä'ten	Äten	VERB.Inf
ätt	et	Äten	VERB.2.Sg.Imp
ätt	et	Äten	VERB.3.Sg.Ind.Prs
bäbern	bÄ'bern	bÄvern	VERB.Inf
backt	bakt	baken	VERB.PPast.wk
bäd't	bÄt	bÄden	VERB.3.Sg.Ind.Prs
bäden	bÄ'den	bÄden	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bäden	bÄ'den	bÄden	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bädit	bÄt	bÄden	VERB.3.Sg.Ind.Prs.ocr
balbeeren	bal'bE'ren	balbEren	VERB.Inf
bang'	bang	bang	ADV
bang'	bang	bang	ADJ.Pos.Pred
bangen	ban'gen	bangen	VERB.Inf
bäter	bÄ'ter	bÄter	ADV.Cpv
beddelt	be'delt	bedeln	VERB.3.Sg.Ind.Prs
beddelt	be'delt	bedeln	VERB.3.Sg.Ind.Prt
bedräben	be'drÄ'ben	be-drIven	VERB.PPast.st
bedrift	be'drift	be-drIven	VERB.3.Sg.Ind.Prs
bedroagen	be'drå'gen	be-drågen	VERB.PPast.st
bedrööwt	be'drÖvt	be-drÖven	VERB.PPast.wk
bedröwt	be'drÖvt	be-drÖven/VERB.PPast.wk	ADV
bedu'r	be'dUr	be-dUren	VERB.1.Sg.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bedu'r	be'dUr	be-dUren	VERB.2.Sg.Imp	0.865079365079365	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bedüden	be'dÜ'den	be-dÜden	VERB.Inf
bedünken	be'dün'ken	be-dünken	VERB.Inf
befinnen	be'fi'nen	be-finen	VERB.Inf
begeben	be'gE'ben	be-gEven	VERB.Inf
begifft	be'gift	be-gÄven	VERB.3.Sg.Ind.Prs
beginnen	be'gi'nen	be-ginen	VERB.Inf
beholl'n	be'ho'len	be-holen	VERB.Inf
behollen	be'ho'len	be-holen	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
behollen	be'ho'len	be-holen	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bejoahrt	be'jårt	be-jår/NOUN.Neut-en	VERB.PPast.wk
bekannt	be'kant	be-kenen	VERB.PPast.wk
bekannt	be'kant	be-kenen/VERB.PPast.wk	ADV
bekieken	be'kI'ken	be-kIken	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bekieken	be'kI'ken	be-kIken	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bekloagen	be'klå'gen	be-klågen	VERB.Inf
beleggt	be'legt	be-legen	VERB.PPast.wk
belehren	be'lE'ren	be-lEren	VERB.Inf
belehrt	be'lErt	be-lEren	VERB.PPast.wk
beloaden	be'lå'den	be-låden	VERB.PPast.st
belur'n	be'lU'ren	be-lUren	VERB.Inf
benoah	be'nå	bI+nå	ADV
beögen	be'Ö'gen	be-Og/NOUN.Neut-"en	VERB.Inf
beräken	be'rÄ'ken	be-rÄken	VERB.Inf
bereden	be're'den	be-rÄden?	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bereden	be're'den	be-rÄden?	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beriken	be'rI'ken	be-rIken	VERB.Inf
beröhmt	be'rÖmt	be-rÖmen	VERB.PPast.wk
beröhmt	be'rÖmt	be-rÖmen/VERB.PPast.wk	ADJ.Pos.Pred
beröhmt	be'rÖmt	be-rÖmen/VERB.PPast.wk	ADV
beschloagen	be'Slå'gen	be-Slågen	VERB.PPast.st
beschräben	be'SrÄ'ben	be-SrIven	VERB.PPast.st
beschräben	be'SrÄ'ben	be-SrIven	VERB._.Pl.Ind.Prt
beschulig	be'SU'lig	beSUlix	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschulig	be'SU'lig	beSUlix	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschulig	be'SU'lig	beSUlix	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschulig	be'SU'lig	beSUlix	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschulig	be'SU'lig	beSUlix	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschulig	be'SU'lig	beSUlix	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschulig	be'SU'lig	beSUlix	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschulig	be'SU'lig	beSUlix	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschwöögt	be'SwÖgt	be-SwÖgen	VERB.1.Sg.Ind.Prt.wk	0.556053811659193	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschwöögt	be'SwÖgt	be-SwÖgen	VERB.2.Pl.Imp	0.663677130044843	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschwöögt	be'SwÖgt	be-SwÖgen	VERB.3.Sg.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschwöögt	be'SwÖgt	be-SwÖgen	VERB.3.Sg.Ind.Prt.wk	0.551569506726457	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
beschwöögt	be'SwÖgt	be-SwÖgen	VERB.PPast.wk	0.556053811659193	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besehn	be'sEn	be-sEn	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besehn	be'sEn	be-sEn	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besinn'n	be'si'n	be-sinen	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besinn'n	be'si'n	be-sinen	VERB._.Pl.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besinnen	be'si'nen	be-sinen	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besoapen	be'så'pen	be-sUpen	VERB.PPast.st
bespijoneeren	be'spi'jo'nE'ren	be-spijonEren	VERB.Inf
bespräken	be'sprÄ'ken	be-sprÄken	VERB.Inf
besproaken	be'språ'ken	be-sprÄken	VERB.PPast.st
besproaken	be'språ'ken	be-sprÄken	VERB._.Pl.Ind.Prt
beste	bes'te	best	ADJ.Spv.Fem.Acc.Sg.Def
bestellt	bes'telt	be-stelen	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besten	bes'ten	best	ADJ.Spv.Masc.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besten	bes'ten	best	ADJ.Spv.Pl.Acc.st	0.833333333333333	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
besten	bes'ten	best	ADJ.Spv.Pl.Nom.st	0.833333333333333	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bestoahn	be'stån	be-stån	VERB.Inf
bestoahn	be'stån	be-stån	VERB._.Pl.Ind.Prs
bestreut	be'sträut	be-sträuen	VERB.PPast.wk
bestünnen	be'stü'nen	be-stån	VERB._.Pl.Sbj.Prt
besunn'n	be'sun'	be-sinen	VERB.PPast.st
bewegt	be'wÄgt	be-wÄgen	VERB.3.Sg.Ind.Prs
bewoahr	be'wår	be-wåren	VERB.1.Sg.Ind.Prs	0.813432835820896	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bewoahr	be'wår	be-wåren	VERB.2.Sg.Imp	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bewoahren	be'wå'ren	be-wåren	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bewoahren	be'wå'ren	be-wåren	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bewoahrt	bE'wårt	be-wåren	VERB.PPast.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bidd'	bid	biden	VERB.1.Sg.Ind.Prs
bie'm	bI'm	bI	ADP DET.Def.Masc.Dat.Sg.clit
billiger	bi'li'ger	bilix	ADJ.Cpv.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
billiger	bi'li'ger	bilix	ADJ.Cpv.Fem.Nom	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
billiger	bi'li'ger	bilix	ADJ.Cpv.Masc.Nom	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
billiger	bi'li'ger	bilix	ADJ.Cpv.Neut.Acc.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
billiger	bi'li'ger	bilix	ADJ.Cpv.Neut.Nom.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
billiger	bi'li'ger	bilix	ADJ.Cpv.Pl.Acc.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
billiger	bi'li'ger	bilix	ADJ.Cpv.Pl.Nom.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
billiger	bi'li'ger	bilix	ADJ.Pos.Masc.Nom	0.904761904761905	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
binn'n	bin'	binen	VERB.Inf
bist	bist	sind	AUX.2.Sg.Ind.Prs
bitt	bit	bIten	VERB.3.Sg.Ind.Prs
bläben	blÄ'ben	blIven	VERB.PPast.st
blafft	blaft	blafen	VERB.3.Sg.Ind.Prs
blank	blank	blank	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blank	blank	blank	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blank	blank	blank	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blank	blank	blank	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blank	blank	blank	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blank	blank	blank	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blank	blank	blank	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blank	blank	blank	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blanke	blan'ke	blank	ADJ.Pos.Pl.Acc.Ind
blanke	blan'ke	blank	ADJ.Pos.Fem.Acc.Def
blankgetrecktt	blank'ge'trekt	blank/ADV+treken/VERB.PPast.wk.hd	ADJ.Pos.Neut.Dat.Sg.Ind
blau	blau	blau	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blau	blau	blau	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blau	blau	blau	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blau	blau	blau	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blau	blau	blau	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blau	blau	blau	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blau	blau	blau	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blau	blau	blau	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
blaue	blau'e	blau	ADJ.Pos.Fem.Acc.Sg
blauem	blau'em	blau	ADJ.Pos.Neut.Dat.Sg.Ind
bleef	blEv	blIven	VERB.1.Sg.Ind.Prt.wk.st	0.931034482758621	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bleef	blEv	blIven	VERB.3.Sg.Ind.Prt.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
bleew	blEv	blIven	VERB.1.Sg.Ind.Prt.wk.st	0.931034482758621	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
